name,wins_x,losses_x,draws_x,height_cm_x,weight_in_kg_x,reach_in_cm_x,stance_x,date_of_birth_x,significant_strikes_landed_per_minute_x,significant_striking_accuracy_x,significant_strikes_absorbed_per_minute_x,significant_strike_defence_x,average_takedowns_landed_per_15_minutes_x,takedown_accuracy_x,takedown_defense_x,average_submissions_attempted_per_15_minutes_x,country,association,Win-Loss-Draw,Win %,weight_class_2
Daniel McWilliams,15,37,0,185.42,83.91,185.42,,,3.36,77.0,0.0,0.0,0.0,0.0,100.0,21.6,,,15-37-0.,0.28846153846153844,Peso Médio
Dan Molina,13,9,0,177.8,97.98,177.8,,,0.0,0.0,5.58,60.0,0.0,0.0,0.0,20.9,,,13-9-0.,0.5909090909090909,Peso Pesado
Collin Huckbody,8,2,0,190.5,83.91,193.04,Orthodox,1994-09-29,2.05,60.0,2.73,42.0,10.23,100.0,0.0,20.4,,,8-2-0.,0.8,Peso Médio
Isaiah Hill,5,7,1,177.8,70.31,177.8,,,4.84,50.0,0.97,80.0,0.0,0.0,66.0,14.5,,,5-7-1.,0.4230769230769231,Peso Leve
Kenneth Seegrist,4,7,0,182.88,83.91,182.88,Orthodox,,3.21,66.0,1.28,0.0,0.0,0.0,40.0,14.4,,,4-7-0.,0.36363636363636365,Peso Médio
Will Kerr,9,3,0,177.8,70.31,175.26,Orthodox,1982-10-21,1.91,42.0,6.22,33.0,0.0,0.0,0.0,14.3,,,9-3-0.,0.75,Peso Leve
Bo Nickal,5,0,0,185.42,83.91,193.04,Southpaw,1996-01-14,2.76,62.0,0.55,75.0,11.04,50.0,0.0,13.8,,,5-0-0.,1.0,Peso Médio
Kenny Ento,14,15,0,187.96,87.09,187.96,,,8.41,79.0,0.0,100.0,5.49,100.0,0.0,11.0,,,14-15-0.,0.4827586206896552,Peso Meio-Pesado
AJ McKee,8,0,0,177.8,65.77,177.8,,,2.75,32.0,0.92,80.0,11.01,100.0,100.0,11.0,,,8-0-0.,1.0,Peso Leve
Philip Perez,7,5,1,165.1,70.31,165.1,Southpaw,,1.36,100.0,0.68,66.0,10.23,100.0,0.0,10.2,,,7-5-1.,0.5769230769230769,Peso Leve
Brandon Shuey,7,6,0,170.18,70.31,170.18,Orthodox,1976-02-01,0.68,33.0,1.36,0.0,0.0,0.0,0.0,10.2,,,7-6-0.,0.5384615384615384,Peso Leve
Dave Phillips,13,7,0,182.88,83.91,182.88,Orthodox,1980-01-12,0.0,0.0,2.0,25.0,0.0,0.0,0.0,10.0,,,13-7-0.,0.65,Peso Médio
Johnny Sampaio,3,1,0,172.72,77.11,172.72,Orthodox,1975-09-11,1.32,40.0,2.64,50.0,9.89,50.0,0.0,9.9,,,3-1-0.,0.75,Peso Meio-Médio
Dione Barbosa,6,2,0,167.64,56.7,167.64,Orthodox,1992-05-08,0.87,50.0,0.65,66.0,3.27,100.0,0.0,9.8,,,6-2-0.,0.75,Peso Mosca
Zach Reese,6,1,0,193.04,83.91,195.58,Switch,1994-03-24,3.93,66.0,6.56,28.0,0.0,0.0,0.0,9.8,,,6-1-0.,0.8571428571428571,Peso Médio
Rodrigo Gripp de Sousa,7,9,0,180.34,92.99,180.34,Orthodox,,0.48,23.0,4.81,52.0,0.0,0.0,0.0,9.6,,,7-9-0.,0.4375,Peso Meio-Pesado
Daniel Puder,8,0,0,190.5,106.59,190.5,Orthodox,1981-10-09,2.77,68.0,1.17,38.0,1.21,50.0,81.0,9.0,,,8-0-0.,1.0,Peso Pesado
Yukio Sakaguchi,6,7,0,175.26,83.91,175.26,Orthodox,1973-07-26,0.3,25.0,2.4,50.0,4.5,100.0,0.0,9.0,,,6-7-0.,0.46153846153846156,Peso Médio
Magomed Sultanakhmedov,18,6,0,187.96,83.91,187.96,Southpaw,,0.0,0.0,2.4,42.0,9.0,100.0,0.0,9.0,,,18-6-0.,0.75,Peso Médio
Erik Apple,10,3,0,182.88,77.11,182.88,Orthodox,1977-08-26,0.0,0.0,0.54,81.0,0.0,0.0,0.0,8.1,,,10-3-0.,0.7692307692307693,Peso Meio-Médio
J.T Taylor,7,7,0,177.8,--,177.8,,,3.17,80.0,3.7,26.0,3.96,100.0,0.0,7.9,,,7-7-0.,0.5,
Bobby McAndrews,1,3,0,179.91666666666666,--,179.91666666666666,Orthodox,,2.56,83.0,1.03,50.0,0.0,0.0,33.0,7.7,,,1-3-0.,0.25,
Jeremiah Constant,11,8,0,185.42,108.86,185.42,Orthodox,1974-07-19,1.5,75.0,3.25,43.0,0.0,0.0,0.0,7.5,,,11-8-0.,0.5789473684210527,Peso Pesado
Eddy Millis,0,2,0,185.42,83.91,185.42,,,0.0,0.0,3.36,22.0,0.0,0.0,0.0,7.2,,,0-2-0.,0.0,Peso Médio
Mikhail Iloukhine,30,11,1,175.26,92.99,175.26,Orthodox,1966-11-21,0.16,20.0,2.95,26.0,0.0,0.0,0.0,7.0,,,30-11-1.,0.7261904761904762,Peso Meio-Pesado
Kyle Jensen,4,11,2,175.26,77.11,175.26,Orthodox,1979-07-20,0.0,0.0,0.92,60.0,6.92,100.0,0.0,6.9,,,4-11-2.,0.29411764705882354,Peso Meio-Médio
Trevor Harris,2,2,0,167.64,65.77,167.64,,,1.73,50.0,0.43,75.0,0.0,0.0,50.0,6.5,,,2-2-0.,0.5,Peso Leve
Jinnosuke Kashimura,4,2,0,170.18,70.31,180.34,Southpaw,2001-08-12,0.21,50.0,7.37,25.0,3.16,100.0,0.0,6.3,,,4-2-0.,0.6666666666666666,Peso Leve
Tom Erikson,9,4,1,190.5,127.01,190.5,Orthodox,,0.94,47.0,1.87,25.0,4.68,60.0,100.0,6.2,,,9-4-1.,0.6785714285714286,Peso Pesado
Daniel Swain,20,10,1,175.26,65.77,177.8,Orthodox,1991-01-30,0.8,44.0,3.2,40.0,0.0,0.0,0.0,6.0,,,20-10-1.,0.6612903225806451,Peso Leve
Shamil Gaziev,11,0,0,193.04,120.2,198.12,Orthodox,1990-02-10,1.52,100.0,0.0,0.0,0.0,0.0,0.0,5.7,,,11-0-0.,1.0,Peso Pesado
Masakatsu Funaki,39,13,2,182.88,83.91,182.88,Southpaw,1969-03-13,1.82,68.0,2.92,35.0,0.0,0.0,0.0,5.5,,,39-13-2.,0.7407407407407407,Peso Médio
Diego Lopes,23,6,0,180.34,65.77,182.88,Orthodox,1994-12-30,2.47,53.0,4.91,37.0,0.0,0.0,42.0,5.3,,,23-6-0.,0.7931034482758621,Peso Leve
