Entity,Code,Year,Human Development Index,Region
Afghanistan,AFG,1997,0.33,Asia
Afghanistan,AFG,1998,0.329,Asia
Afghanistan,AFG,1999,0.337,Asia
Afghanistan,AFG,2000,0.34,Asia
Afghanistan,AFG,2001,0.344,Asia
Afghanistan,AFG,2002,0.368,Asia
Afghanistan,AFG,2003,0.379,Asia
Afghanistan,AFG,2004,0.395,Asia
Afghanistan,AFG,2005,0.402,Asia
Afghanistan,AFG,2006,0.41,Asia
Afghanistan,AFG,2007,0.426,Asia
Afghanistan,AFG,2008,0.431,Asia
Afghanistan,AFG,2009,0.441,Asia
Afghanistan,AFG,2010,0.449,Asia
Afghanistan,AFG,2011,0.457,Asia
Afghanistan,AFG,2012,0.467,Asia
Afghanistan,AFG,2013,0.475,Asia
Afghanistan,AFG,2014,0.48,Asia
Afghanistan,AFG,2015,0.479,Asia
Afghanistan,AFG,2016,0.483,Asia
Afghanistan,AFG,2017,0.485,Asia
Afghanistan,AFG,2018,0.486,Asia
Afghanistan,AFG,2019,0.492,Asia
Afghanistan,AFG,2020,0.488,Asia
Afghanistan,AFG,2021,0.473,Asia
Afghanistan,AFG,2022,0.462,Asia
Albania,ALB,1997,0.641,Europe
Albania,ALB,1998,0.656,Europe
Albania,ALB,1999,0.668,Europe
Albania,ALB,2000,0.678,Europe
Albania,ALB,2001,0.687,Europe
Albania,ALB,2002,0.692,Europe
Albania,ALB,2003,0.701,Europe
Albania,ALB,2004,0.707,Europe
Albania,ALB,2005,0.72,Europe
Albania,ALB,2006,0.728,Europe
Albania,ALB,2007,0.74,Europe
Albania,ALB,2008,0.747,Europe
Albania,ALB,2009,0.752,Europe
Albania,ALB,2010,0.766,Europe
Albania,ALB,2011,0.779,Europe
Albania,ALB,2012,0.789,Europe
Albania,ALB,2013,0.793,Europe
Albania,ALB,2014,0.797,Europe
Albania,ALB,2015,0.797,Europe
Albania,ALB,2016,0.795,Europe
Albania,ALB,2017,0.796,Europe
Albania,ALB,2018,0.797,Europe
Albania,ALB,2019,0.8,Europe
Albania,ALB,2020,0.784,Europe
Albania,ALB,2021,0.785,Europe
Albania,ALB,2022,0.789,Europe
Angola,AGO,1999,0.369,
Angola,AGO,2000,0.38,
Angola,AGO,2001,0.39,
Angola,AGO,2002,0.406,
Angola,AGO,2003,0.424,
Angola,AGO,2004,0.437,
Angola,AGO,2005,0.451,
Angola,AGO,2006,0.463,
Angola,AGO,2007,0.48,
Angola,AGO,2008,0.492,
Angola,AGO,2009,0.506,
Angola,AGO,2010,0.516,
Angola,AGO,2011,0.533,
Angola,AGO,2012,0.545,
Angola,AGO,2013,0.555,
