Nickname,Name,Weight Class,Record
,Anthony Adams,Middleweight,8-2-0 (W-L-D)
,Scott Adams,Heavyweight,6-0-0 (W-L-D)
"""The Lion""",Zarrukh Adashev,"""The Lion""",4-4-0 (W-L-D)
"""The Last Stylebender""",Israel Adesanya,"""The Last Stylebender""",24-3-0 (W-L-D)
,Sam Adkins,Light Heavyweight,0-0-0 (W-L-D)
,Nick Agallar,Lightweight,12-3-0 (W-L-D)
,Fabio Agu,Middleweight,0-0-0 (W-L-D)
,Marcello Aguiar,Welterweight,0-0-0 (W-L-D)
"""Angel of Death""",Kevin Aguilar,"""Angel of Death""",17-5-0 (W-L-D)
,Jesus Aguilar,Flyweight,10-2-0 (W-L-D)
"""The Beast""",Christian Aguilera,"""The Beast""",14-8-0 (W-L-D)
"""Slick""",Nick Aguirre,"""Slick""",7-2-0 (W-L-D)
,Ashiek Ajim,Bantamweight,0-1-0 (W-L-D)
"""Wolverine""",Omari Akhmedov,"""Wolverine""",21-6-1 (W-L-D)
"""Sexyama""",Yoshihiro Akiyama,"""Sexyama""",15-6-0 (W-L-D)
,Rostem Akman,Welterweight,0-2-0 (W-L-D)
,Mostapha Al Turk,Heavyweight,6-6-0 (W-L-D)
"""Razor""",Razak Al-Hassan,"""Razor""",7-2-0 (W-L-D)
"""The Royal Fighter""",Ali Al-Qaisi,"""The Royal Fighter""",8-5-0 (W-L-D)
"""Pride of Palestine""",Abdul-Kareem Al-Selwady,"""Pride of Palestine""",15-4-0 (W-L-D)
,Herdem Alacabek,Light Heavyweight,0-0-0 (W-L-D)
"""The Mongolian Knight""",Alatengheili,"""The Mongolian Knight""",17-9-2 (W-L-D)
"""The Prince""",Amir Albazi,"""The Prince""",17-1-0 (W-L-D)
"""Prince""",John Albert,"""Prince""",7-5-0 (W-L-D)
"""Baby""",Junior Albini,"""Baby""",14-6-0 (W-L-D)
,Wes Albritton,Lightweight,0-0-0 (W-L-D)
"""Marajo""",Ildemar Alcantara,"""Marajo""",21-8-0 (W-L-D)
"""Marajo""",Iuri Alcantara,"""Marajo""",35-10-0 (W-L-D)
,Alfonso Alcarez,Lightweight,0-0-0 (W-L-D)
"""El Charro""",Hector Aldana,"""El Charro""",4-2-0 (W-L-D)
"""El Peligroso""",Gilbert Aldana,"""El Peligroso""",5-0-0 (W-L-D)
,Jose Alday,Bantamweight,0-1-0 (W-L-D)
,José Aldo,Bantamweight,32-8-0 (W-L-D)
"""The Beast""",Jim Alers,"""The Beast""",13-3-0 (W-L-D)
"""The Natural""",John Alessio,"""The Natural""",34-16-0 (W-L-D)
"""The Lion""",Lucas Alexander,"""The Lion""",8-4-0 (W-L-D)
"""The Assassin""",Houston Alexander,"""The Assassin""",9-5-0 (W-L-D)
"""Lyoto""",Marcio Alexandre,"""Lyoto""",13-3-0 (W-L-D)
,Olaf Alfonso,Welterweight,0-0-0 (W-L-D)
"""Senor Perfecto""",Bill Algeo,"""Senor Perfecto""",18-8-0 (W-L-D)
,Royce Alger,Middleweight,0-0-0 (W-L-D)
,Abdul Razak Alhassan,Middleweight,12-6-0 (W-L-D)
,Amir Aliakbari,Heavyweight,0-0-0 (W-L-D)
"""Tajik Eagle """,Nurullo Aliev,"""Tajik Eagle """,9-0-0 (W-L-D)
,Sultan Aliev,Welterweight,15-3-0 (W-L-D)
,Ikram Aliskerov,Middleweight,15-1-0 (W-L-D)
,Leon Aliu,Middleweight,0-1-0 (W-L-D)
,John Allan,Light Heavyweight,13-7-0 (W-L-D)
"""All In""",Brendan Allen,"""All In""",24-5-0 (W-L-D)
"""Almighty""",Arnold Allen,"""Almighty""",19-3-0 (W-L-D)
"""Blanco""",Benny Alloway,"""Blanco""",13-6-0 (W-L-D)
"""Zulfikar""",Asu Almabayev,"""Zulfikar""",19-2-0 (W-L-D)
"""The Turan Warrior""",Bekzat Almakhan,"""The Turan Warrior""",11-2-0 (W-L-D)
"""Malhadinho""",Jailton Almeida,"""Malhadinho""",21-3-0 (W-L-D)
,Lucas Almeida,Featherweight,14-3-0 (W-L-D)
"""Cesinha""",Cesar Almeida,"""Cesinha""",5-1-0 (W-L-D)
"""Thominhas""",Thomas Almeida,"""Thominhas""",22-5-0 (W-L-D)
"""Big Dog""",Ricardo Almeida,"""Big Dog""",13-4-0 (W-L-D)
"""El Magnifico""",Victor Altamirano,"""El Magnifico""",12-4-0 (W-L-D)
"""El Fenomeno""",Joel Álvarez,"""El Fenomeno""",20-3-0 (W-L-D)
,Jaime Alvarez,Flyweight,7-1-0 (W-L-D)
"""The Underground King""",Eddie Alvarez,"""The Underground King""",29-6-0 (W-L-D)
,Sean Alvarez,Heavyweight,4-3-0 (W-L-D)
"""The Turn""",Rafael Alves,"""The Turn""",20-12-0 (W-L-D)
,Warlley Alves,Middleweight,15-8-0 (W-L-D)
"""Pitbull""",Thiago Alves,"""Pitbull""",28-15-0 (W-L-D)
"""The Terminator""",Amilcar Alves,"""The Terminator""",11-3-0 (W-L-D)
"""Smile'N""",Sam Alvey,"""Smile'N""",33-18-1 (W-L-D)
"""Borz""",Adlan Amagov,"""Borz""",13-2-1 (W-L-D)
,Alen Amedovski,Middleweight,8-4-0 (W-L-D)
"""The Hurricane""",Hyder Amil,"""The Hurricane""",9-0-0 (W-L-D)
"""Mr. Finland""",Makwan Amirkhani,"""Mr. Finland""",17-9-0 (W-L-D)
"""Ya Boi""",Eryk Anders,"""Ya Boi""",16-8-0 (W-L-D)
,Matt Andersen,,0-0-0 (W-L-D)
"""Overtime""",Corey Anderson,"""Overtime""",14-5-0 (W-L-D)
,Andy Anderson,,0-0-0 (W-L-D)
,Lowell Anderson,Middleweight,0-0-0 (W-L-D)
,Tatsuya Ando,Bantamweight,0-1-0 (W-L-D)
,Viscardi Andrade,Welterweight,19-7-0 (W-L-D)
,Alex Andrade,Middleweight,0-0-0 (W-L-D)
,Jermaine Andre,Middleweight,0-0-0 (W-L-D)
,Juan Andres Luna,Flyweight,0-1-0 (W-L-D)
"""The Villain""",Dylan Andrews,"""The Villain""",18-7-0 (W-L-D)
